case,speaker,content,is_fraud,reason
诈骗(150)0,唐某,朱先生，我最近开了一家快递店，已经和某大公司签订了长期合同，效益非常不错。你有没有兴趣投资入股？我们可以一起分成利润。,True,唐某虚构了与某公司签订合同的事实，目的是诱骗朱先生投资。
诈骗(150)0,朱先生,听起来不错啊，具体怎么合作呢？,False,
诈骗(150)0,唐某,你可以先投资一部分资金作为启动资金，我会按月给你返还利润。合同我都准备好了，绝对正规。,True,唐某声称有正规合同，但实际上并未与任何公司签订合同，目的是让朱先生相信投资的合法性。
诈骗(150)0,朱先生,那好，我先投50万试试看。,False,
诈骗(150)0,唐某,太好了，朱先生，你放心，这笔投资绝对值得。我会尽快把合同发给你看。,True,唐某继续通过虚假承诺和伪造合同来维持朱先生的信任。
诈骗(150)0,朱先生,好的，我这就转账给你。,False,
诈骗(150)0,唐某,朱先生，这个月的利润已经到账了，你看看。,True,唐某通过返还部分资金作为“利润”来进一步骗取朱先生的信任，实际上这些资金可能是朱先生自己的投资款。
诈骗(150)0,朱先生,不错啊，那我再追加投资。,False,
诈骗(150)0,唐某,朱先生，最近公司业务扩展，需要更多资金，你再投一些吧，利润会更高。,True,唐某利用虚假的业务扩展理由，诱使朱先生继续追加投资。
诈骗(150)0,朱先生,好的，我再投100万。,False,
诈骗(150)0,唐某,朱先生，最近公司有点资金周转问题，利润可能要晚点给你。,True,唐某开始以各种借口拖延支付利润，实际上是为了掩盖诈骗行为。
诈骗(150)0,朱先生,怎么回事？我查了一下，发现你说的那家公司根本没有和你签订合同！,False,
诈骗(150)0,唐某,朱先生，你听我解释，可能是信息有误，我再核实一下。,True,唐某试图通过虚假解释来继续欺骗朱先生，避免被揭穿。
诈骗(150)0,朱先生,不用解释了，我已经报警了！,False,
诈骗(150)1,李明,您好，我是公安局的李警官，我们最近在调查一起金融诈骗案件，发现您的账户可能涉及其中。,True,冒充公检法工作人员，试图获取受害者的信任。
诈骗(150)1,张华,啊？这怎么可能？我从来没有参与过任何诈骗活动。,False,
诈骗(150)1,李明,我们理解您的担忧，但为了确保您的账户安全，我们需要您配合我们进行进一步的调查。请您下载一个安全检测APP，我们会通过这个APP来保护您的账户。,True,诱导受害者下载虚假APP，以便进一步控制或监控受害者的账户。
诈骗(150)1,张华,这个APP安全吗？我需要怎么做？,False,
诈骗(150)1,李明,非常安全，这是公安局专用的安全软件。您只需要按照指示操作，输入您的银行账户信息，我们会立即为您进行安全检测。,True,要求受害者输入银行账户信息，意图窃取财务信息。
诈骗(150)1,张华,好的，我这就下载并输入信息。,False,
诈骗(150)1,李明,非常感谢您的配合。为了进一步确保您的账户安全，我们建议您将账户中的资金暂时转移到我们提供的安全账户中，待检测完毕后会立即返还。,True,诱导受害者转移资金到诈骗者控制的账户，实施资金诈骗。
诈骗(150)1,张华,这听起来有点复杂，我需要和家人商量一下。,False,
诈骗(150)1,李明,时间紧迫，如果您不立即操作，您的账户可能会被冻结。请您尽快决定。,True,制造紧迫感，迫使受害者迅速做出决定，减少思考时间。
